Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
,,,Day,Month,Day,Month,,Value,Unit,Value,Period,Day,Month,Day,Month,,,,,,,,,
"Beans, harvested green",Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,2,15,3,no,50-60,kg/ha,45-120,Days,1,1,1,1,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
Cassava,Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,1,1,28,2,no,10000,cuttings/ha,12 - 18,Months,1,1,31,12,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
"Pea, dry",Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,9,31,10,no,120-150 ,kg/ha,100-120,Days,15,1,15,4,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
Corn,Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,9,31,10,no,30-50,kg/ha,75-90 ,Days,15,12,31,12,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
Corn,Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,3,15,4,no,30-50,kg/ha,75-90 ,Days,1,7,30,7,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
Rice,Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,12,15,2,no,80-100,kg/ha,100-120,Days,1,5,30,6,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
Sorghum,Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,8,31,9,no,5-10,kg/ha,150-180 ,Days,15,1,28,2,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
Sorghum,Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,1,12,15,1,no,5-10,kg/ha,150-180 ,Days,1,7,30,6,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
Beet,Imbo,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,9,31,10,no,75-90,kg/ha,100-120 ,Days,1,12,15,1,"The Imbo is the smallest Agro-ecological zone of Rwanda, situated in the Southwest. It is located in the drainage basin of the Rubyiro river and comprises the alluvial valleys of the Rusizi and Rubyiro. This zone extends further South into the bordering country Burundi. It is the lowest region of Rwanda, with altitudes of 970 to 1000m and much of the area is covered by marshes. The average temperature is 24 ̊C and the dry season generally lasts for three months (June-August). Annual rainfall varies from 1,050mm in the South to 1,600mm in the North.","Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation. Most important crops: cassava, banana, rice and beans.","Rusizi and Rubyiro valleys (Nzahaha and Bugarama, Muganza sectors)",,,,,,
